iteration,time,bestobj
0,0,34467
1,0.0260818,34467
2,0.0372871,34308
3,0.0484217,33985
4,0.0676787,33813
5,0.0803623,33813
6,0.093542,33694
7,0.111082,33340
8,0.125196,32878
9,0.138164,32475
10,0.150357,31803
11,0.166086,31682
12,0.191792,31682
13,0.211851,31682
14,0.223227,31317
15,0.256525,30868
16,0.290327,30868
17,0.322035,30655
18,0.341822,30382
19,0.371806,30089
20,0.397232,30085
21,0.430916,29735
22,0.450359,29427
23,0.471112,29203
24,0.487956,29067
25,0.509413,28748
26,0.527806,28663
27,0.544966,28345
28,0.561695,28093
29,0.573973,27987
30,0.58381,27534
31,0.594274,27534
32,0.605798,27193
33,0.619343,26986
34,0.635621,26909
35,0.646256,26868
36,0.659405,26496
37,0.670793,26421
38,0.683248,26263
39,0.693146,26078
40,0.702636,26071
41,0.719163,25825
42,0.732035,25825
43,0.742631,25646
44,0.75974,25624
45,0.770323,25499
46,0.780369,25369
47,0.790122,25239
48,0.803372,25168
49,0.814695,25166
50,0.830606,25152
51,0.844083,25098
52,0.854652,25034
53,0.864363,25009
54,0.874185,24979
55,0.883775,24962
56,0.89147,24954
57,0.898847,24952
58,0.906314,24942
59,0.913812,24940
60,0.921198,24939
61,0.92901,24939
62,0.936526,24939
63,0.943527,24939
64,0.950325,24939
65,0.957456,24939
66,0.964357,24939
67,0.97117,24939
68,0.978256,24939
69,0.985118,24939
70,0.992014,24939
71,0.998936,24939
72,1.00575,24939
73,1.013,24939
74,1.01988,24939
75,1.02664,24939
76,1.03349,24939
77,1.04067,24939
78,1.04753,24939
79,1.05467,24939
80,1.06148,24939
81,1.06835,24939
82,1.07557,24939
83,1.08251,24939
84,1.0894,24939
85,1.09649,24939
86,1.10341,24939
87,1.11046,24939
88,1.11763,24939
89,1.1243,24939
90,1.13235,24939
91,1.1408,24939
92,1.14813,24939
93,1.15529,24939
94,1.16246,24939
95,1.16959,24939
96,1.17656,24939
97,1.1836,24939
98,1.19032,24939
99,1.19754,24939
100,1.20439,24939
101,1.21131,24939
102,1.21806,24939
103,1.22475,24939
104,1.23164,24939
105,1.2388,24939
106,1.24579,24939
107,1.25264,24939
108,1.25965,24939
109,1.26619,24939
110,1.27341,24939
111,1.28025,24939
112,1.28706,24939
113,1.29367,24939
114,1.30048,24939
115,1.30728,24939
116,1.3139,24939
117,1.32062,24939
118,1.32731,24939
119,1.33387,24939
120,1.34084,24939
121,1.34775,24939
122,1.35462,24939
123,1.36136,24939
124,1.36826,24939
125,1.37493,24939
126,1.38176,24939
127,1.38863,24939
128,1.39547,24939
129,1.40209,24939
130,1.40914,24939
131,1.41591,24939
132,1.4227,24939
133,1.42971,24939
134,1.43663,24939
135,1.44334,24939
136,1.4505,24939
137,1.45729,24939
138,1.46431,24939
139,1.47167,24939
140,1.47855,24939
141,1.48545,24939
142,1.49341,24939
143,1.50022,24939
144,1.50754,24939
145,1.51493,24939
146,1.52174,24939
147,1.52921,24939
148,1.53671,24939
149,1.54387,24939
150,1.554,24939
151,1.56539,24939
152,1.574,24939
153,1.58377,24939
154,1.59374,24939
155,1.60317,24939
156,1.61241,24939
157,1.62237,24939
158,1.63619,24939
159,1.64592,24939
160,1.65538,24939
161,1.6649,24939
162,1.67467,24939
163,1.68258,24939
164,1.68969,24939
165,1.69748,24939
166,1.70481,24939
167,1.71225,24939
168,1.7194,24939
169,1.72668,24939
170,1.73367,24939
171,1.74096,24939
172,1.74802,24939
173,1.75515,24939
174,1.76226,24939
175,1.76943,24939
176,1.77678,24939
177,1.78344,24939
178,1.79036,24939
179,1.79703,24939
180,1.80377,24939
181,1.81053,24939
182,1.81734,24939
183,1.82435,24939
184,1.83121,24939
185,1.8382,24939
186,1.84511,24939
187,1.85249,24939
188,1.8596,24939
189,1.86607,24939
190,1.87292,24939
191,1.87956,24939
192,1.8862,24939
193,1.89296,24939
194,1.89989,24939
195,1.90679,24939
196,1.91365,24939
197,1.92038,24939
198,1.92709,24939
199,1.93388,24939
200,1.94088,24939
201,1.94759,24939
202,1.95694,24939
203,1.96418,24939
204,1.9713,24939
205,1.97807,24939
206,1.98497,24939
207,1.99191,24939
208,1.99932,24939
209,2.00609,24939
210,2.01316,24939
211,2.02,24939
212,2.02684,24939
213,2.03367,24939
214,2.04069,24939
215,2.04747,24939
216,2.05461,24939
217,2.06576,24939
218,2.07408,24939
219,2.08485,24939
220,2.09305,24939
221,2.10191,24939
222,2.10993,24939
223,2.11864,24939
224,2.12695,24939
225,2.13733,24939
226,2.14504,24939
227,2.15403,24939
228,2.16784,24939
229,2.17957,24939
230,2.1896,24939
231,2.20098,24939
232,2.20976,24939
233,2.22025,24939
234,2.22954,24939
235,2.23816,24939
236,2.24768,24939
237,2.25721,24939
238,2.26624,24939
239,2.27476,24939
240,2.28314,24939
241,2.29197,24939
242,2.3005,24939
243,2.30903,24939
244,2.31809,24939
245,2.32664,24939
246,2.3351,24939
247,2.34404,24939
248,2.35493,24939
249,2.36241,24939
250,2.36962,24939
251,2.37672,24939
252,2.38375,24939
253,2.39053,24939
254,2.39715,24939
255,2.40416,24939
256,2.4141,24939
257,2.42141,24939
258,2.43004,24939
259,2.43735,24939
260,2.44479,24939
261,2.45519,24939
262,2.46284,24939
263,2.47204,24939
