iteration,time,bestobj
0,0,34084
1,0.0184588,33711
2,0.0257116,33711
3,0.0329424,33711
4,0.040155,33711
5,0.0475084,33711
6,0.0549826,33670
7,0.0626923,33615
8,0.0704095,33390
9,0.0780833,33390
10,0.0857864,33355
11,0.0934064,33355
12,0.101053,33355
13,0.108682,33351
14,0.116312,33078
15,0.124082,33078
16,0.131967,32951
17,0.139634,32581
18,0.147298,32293
19,0.154995,32293
20,0.162767,31934
21,0.170417,31765
22,0.178167,31647
23,0.188158,31121
24,0.196428,30630
25,0.205954,30624
26,0.213996,30341
27,0.221986,30312
28,0.229786,30312
29,0.23738,29935
30,0.24478,29819
31,0.252219,29262
32,0.259607,29262
33,0.266881,29018
34,0.274201,28737
35,0.28161,28612
36,0.288936,28559
37,0.296244,28018
38,0.303497,28018
39,0.310759,27944
40,0.317995,27775
41,0.325238,27644
42,0.33239,27540
43,0.33957,27533
44,0.346774,27362
45,0.353847,27275
46,0.360922,27135
47,0.369822,27067
48,0.377216,26967
49,0.384404,26920
50,0.391775,26883
51,0.398933,26831
52,0.405858,26814
53,0.412882,26765
54,0.419959,26761
55,0.427218,26719
56,0.434252,26714
57,0.441266,26709
58,0.44835,26704
59,0.455389,26704
60,0.46261,26704
61,0.469726,26704
62,0.476942,26704
63,0.484185,26704
64,0.491265,26704
65,0.49846,26704
66,0.505589,26704
67,0.512772,26704
68,0.519935,26704
69,0.527115,26704
70,0.534333,26704
71,0.541466,26704
72,0.54882,26704
73,0.555981,26704
74,0.563119,26704
75,0.570297,26704
76,0.577429,26704
77,0.58456,26704
78,0.591731,26704
79,0.598906,26704
80,0.606069,26704
81,0.613164,26704
82,0.620332,26704
83,0.627733,26704
84,0.63485,26704
85,0.642027,26704
86,0.649196,26704
87,0.656395,26704
88,0.663571,26704
89,0.670682,26704
90,0.677882,26704
91,0.685127,26704
92,0.692515,26704
93,0.699749,26704
94,0.706961,26704
95,0.71414,26704
96,0.721335,26704
97,0.728485,26704
98,0.735708,26704
99,0.742827,26704
100,0.75,26704
101,0.757171,26704
102,0.764395,26704
103,0.771471,26704
104,0.778723,26704
105,0.785899,26704
106,0.79325,26704
107,0.800276,26704
108,0.80738,26704
109,0.814459,26704
110,0.821737,26704
111,0.828841,26704
112,0.835892,26704
113,0.84319,26704
114,0.850471,26704
115,0.857557,26704
116,0.866429,26704
117,0.873777,26704
118,0.881151,26704
119,0.888167,26704
120,0.895248,26704
121,0.902518,26704
122,0.909535,26704
123,0.916635,26704
124,0.923738,26704
125,0.930933,26704
126,0.937991,26704
127,0.945205,26704
128,0.952562,26704
129,0.959748,26704
130,0.966803,26704
